# Auto-École Manager
# Généré le 12/12/2025 à 00:11
# Fichier test avec 100 élèves fictifs
#
id,full_name,cin,date_of_birth,age,phone,email,address,registration_date,status,license_type,theoretical_exam_passed,practical_exam_passed,theoretical_exam_attempts,practical_exam_attempts,total_paid,total_due,balance,is_solvent,hours_completed,hours_planned,completion_rate,emergency_contact_name,emergency_contact_phone,notes,created_at
1,Aicha Lazaar,VU775419,1983-04-25,42,+212 687-510553,aicha.lazaar36@email.com,"Agadir, Centre Ville",2024-10-10,diplome,A,1,1,1,1,4500.00,4500.00,0.00,True,11,40,27.5,,,,2024-10-10T00:11:31.747876
2,Khalid Benali,VA484470,1998-01-05,27,+212 660-676551,khalid.benali75@email.com,"Tanger, Boukhalef",2024-05-13,actif,B,0,0,1,0,3171.00,5000.00,-1829.00,False,0,20,0.0,Contact Benali,+212 637-552304,,2024-05-13T00:11:31.747876
3,Amina Jilali,HF571492,1984-07-25,41,+212 604-530901,amina.jilali17@email.com,"Casablanca, Sidi Moumen",2025-03-11,diplome,B,1,1,2,0,4500.00,4500.00,0.00,True,13,20,65.0,Contact Jilali,+212 640-428021,,2025-03-11T00:11:31.747876
4,Imad Chraibi,LB555573,1988-11-13,37,+212 680-427493,imad.chraibi32@email.com,"Tétouan, Centre",2025-10-08,en_attente,C,0,0,0,0,868.00,4500.00,-3632.00,False,0,20,0.0,,,Besoin de plus de pratique,2025-10-08T00:11:31.747876
5,Anass Berrada,IQ689693,1998-10-24,27,+212 640-949451,anass.berrada7@email.com,"Mohammedia, Centre",2024-09-23,diplome,B,1,1,0,2,5000.00,5000.00,0.00,True,6,40,15.0,,,,2024-09-23T00:11:31.747876
6,Omar Hassani,JT945168,1992-09-07,33,+212 681-907061,omar.hassani90@email.com,"Casablanca, Ain Diab",2025-07-05,diplome,A,1,1,0,1,6500.00,6500.00,0.00,True,9,20,45.0,,,,2025-07-05T00:11:31.747876
7,Mohammed Ghali,SB271660,1990-09-04,35,+212 664-740730,mohammed.ghali82@email.com,"Casablanca, Anfa",2023-12-15,en_attente,A,0,0,0,0,602.00,5000.00,-4398.00,False,0,35,0.0,,,,2023-12-15T00:11:31.747876
8,Youssef Benali,GZ595222,1989-07-05,36,+212 659-268128,youssef.benali78@email.com,"Agadir, Secteur Touristique",2024-03-29,actif,C,0,0,0,0,3869.00,5500.00,-1631.00,False,14,35,40.0,Contact Benali,+212 696-476665,,2024-03-29T00:11:31.747876
9,Houda Amrani,BE424330,2000-12-31,24,+212 646-389325,houda.amrani40@email.com,"Mohammedia, Centre",2025-06-10,en_attente,A,0,0,0,0,1188.00,6500.00,-5312.00,False,0,40,0.0,Contact Amrani,+212 679-820743,,2025-06-10T00:11:31.747876
10,Amine Mansouri,ZB341488,1996-10-28,29,+212 628-206893,amine.mansouri47@email.com,"Salé, Centre",2024-07-09,diplome,B,1,1,1,0,6500.00,6500.00,0.00,True,13,20,65.0,,,,2024-07-09T00:11:31.747876
11,Samir Hamdaoui,BZ367673,2004-02-04,21,+212 632-727285,samir.hamdaoui6@email.com,"Meknès, Ville Nouvelle",2025-10-05,en_attente,B,0,0,0,0,241.00,4500.00,-4259.00,False,0,35,0.0,Contact Hamdaoui,+212 622-580752,,2025-10-05T00:11:31.747876
12,Anass Tazi,WR787088,1991-05-03,34,+212 616-177332,anass.tazi36@email.com,"Meknès, Hamria",2024-12-29,diplome,C,1,1,2,2,6500.00,6500.00,0.00,True,4,25,16.0,Contact Tazi,+212 666-871334,,2024-12-29T00:11:31.747876
13,Mehdi Jamal,NC909479,1988-06-21,37,+212 651-376601,mehdi.jamal40@email.com,"Kenitra, Centre",2025-01-16,suspendu,C,0,0,0,0,1240.00,5500.00,-4260.00,False,11,35,31.4,Contact Jamal,+212 659-225772,Bon élève,2025-01-16T00:11:31.747876
14,Khadija Idrissi,XD960497,1988-04-26,37,+212 617-117444,khadija.idrissi28@email.com,"Rabat, Ocean",2024-06-01,en_attente,A,0,0,0,0,308.00,4500.00,-4192.00,False,0,35,0.0,,,,2024-06-01T00:11:31.747876
15,Amine Lazaar,NQ165982,2007-01-11,18,+212 604-599639,amine.lazaar41@email.com,"Salé, Centre",2024-01-07,suspendu,A,0,0,0,0,449.00,5500.00,-5051.00,False,6,35,17.1,,,Bon élève,2024-01-07T00:11:31.747876
16,Ikram Jilali,PJ743832,1996-01-06,29,+212 603-220551,ikram.jilali68@email.com,"Kenitra, Centre",2024-06-06,suspendu,C,0,0,0,0,1403.00,4500.00,-3097.00,False,10,20,50.0,Contact Jilali,+212 692-248091,Très motivé,2024-06-06T00:11:31.747876
17,Ikram Chraibi,OO453883,2003-08-17,22,+212 605-234464,ikram.chraibi87@email.com,"Meknès, Hamria",2024-03-03,en_attente,C,0,0,0,0,234.00,4500.00,-4266.00,False,0,30,0.0,Contact Chraibi,+212 644-287310,,2024-03-03T00:11:31.747876
18,Amine Filali,CE448799,1985-01-13,40,+212 642-628834,amine.filali56@email.com,"Tanger, Centre Ville",2024-10-21,suspendu,C,0,0,0,0,2108.00,4500.00,-2392.00,False,0,25,0.0,,,Besoin de plus de pratique,2024-10-21T00:11:31.747876
19,Zakaria Berrada,ZR406899,1980-11-19,45,+212 668-516633,zakaria.berrada64@email.com,"Casablanca, Sidi Moumen",2024-04-19,en_attente,B,0,0,0,0,131.00,5000.00,-4869.00,False,0,25,0.0,Contact Berrada,+212 677-648872,Besoin de plus de pratique,2024-04-19T00:11:31.747876
